state	year	fips_pct	fips_cnty	precinct_code	county	precinct	cd	g2001_GOV_dv	g2001_GOV_rv	g2001_GOV_tv	g2001_LTG_dv	g2001_LTG_rv	g2001_LTG_tv	g2001_ATG_dv	g2001_ATG_rv	g2001_ATG_tv
"VA"	2001	13012	51013	12	"ARLINGTON COUNTY"	"FAIRLINGTON"	8	893	437	1330	868	460	1328	821	514	1335
"VA"	2001	13013	51013	13	"ARLINGTON COUNTY"	"GLEN CARLYN"	8	502	210	712	503	209	712	481	240	721
"VA"	2001	13014	51013	14	"ARLINGTON COUNTY"	"CLARENDON"	8	898	431	1329	865	446	1311	839	497	1336
"VA"	2001	13015	51013	15	"ARLINGTON COUNTY"	"LYON PARK"	8	824	301	1125	798	303	1101	763	361	1124
"VA"	2001	13016	51013	16	"ARLINGTON COUNTY"	"LYON VILLAGE"	8	990	405	1395	974	399	1373	944	459	1403
"VA"	2001	13017	51013	17	"ARLINGTON COUNTY"	"OVERLEE KNOLLS"	8	884	373	1257	872	381	1253	831	424	1255
"VA"	2001	13018	51013	18	"ARLINGTON COUNTY"	"PARK LANE"	8	460	175	635	448	174	622	423	205	628
"VA"	2001	13019	51013	19	"ARLINGTON COUNTY"	"ROSSLYN"	8	638	271	909	610	287	897	591	317	908
"VA"	2001	13020	51013	20	"ARLINGTON COUNTY"	"THRIFTON"	8	938	553	1491	903	573	1476	854	635	1489
"VA"	2001	13021	51013	21	"ARLINGTON COUNTY"	"VIRGINIA HIGHLANDS"	8	673	325	998	638	337	975	615	382	997
"VA"	2001	13022	51013	22	"ARLINGTON COUNTY"	"ABINGDON"	8	693	300	993	672	306	978	646	349	995
"VA"	2001	13023	51013	23	"ARLINGTON COUNTY"	"WESTOVER"	8	632	241	873	610	259	869	583	293	876
"VA"	2001	13024	51013	24	"ARLINGTON COUNTY"	"WOODLAWN"	8	1143	386	1529	1126	392	1518	1080	454	1534
"VA"	2001	13025	51013	25	"ARLINGTON COUNTY"	"ARLINGTON FOREST"	8	1151	528	1679	1135	526	1661	1067	618	1685
"VA"	2001	13026	51013	26	"ARLINGTON COUNTY"	"FILLMORE"	8	835	295	1130	815	297	1112	780	348	1128
"VA"	2001	13027	51013	27	"ARLINGTON COUNTY"	"JEFFERSON"	8	865	376	1241	851	366	1217	821	413	1234
"VA"	2001	13028	51013	28	"ARLINGTON COUNTY"	"CLAREMONT"	8	776	308	1084	770	298	1068	734	344	1078
"VA"	2001	13029	51013	29	"ARLINGTON COUNTY"	"DOMINION HILLS"	8	928	442	1370	933	438	1371	884	494	1378
"VA"	2001	13030	51013	30	"ARLINGTON COUNTY"	"GLEBE"	8	817	130	947	803	127	930	779	148	927
"VA"	2001	13031	51013	31	"ARLINGTON COUNTY"	"LEXINGTON"	8	924	385	1309	923	378	1301	864	441	1305
"VA"	2001	13032	51013	32	"ARLINGTON COUNTY"	"OAKRIDGE"	8	479	312	791	460	321	781	441	362	803
"VA"	2001	13033	51013	33	"ARLINGTON COUNTY"	"ROCK SPRING"	8	949	604	1553	959	589	1548	869	675	1544
"VA"	2001	13034	51013	34	"ARLINGTON COUNTY"	"YORKTOWN"	8	863	407	1270	857	416	1273	817	467	1284
"VA"	2001	13035	51013	35	"ARLINGTON COUNTY"	"MADISON"	8	974	756	1730	969	767	1736	887	854	1741
"VA"	2001	13036	51013	36	"ARLINGTON COUNTY"	"MARSHALL"	8	986	465	1451	985	472	1457	932	535	1467
"VA"	2001	13037	51013	37	"ARLINGTON COUNTY"	"NOTTINGHAM"	8	873	444	1317	855	438	1293	824	476	1300
"VA"	2001	13038	51013	38	"ARLINGTON COUNTY"	"ARLINGTON VIEW"	8	696	211	907	694	195	889	667	229	896
"VA"	2001	13039	51013	39	"ARLINGTON COUNTY"	"ASHLAWN"	8	465	263	728	453	265	718	423	307	730
"VA"	2001	13040	51013	40	"ARLINGTON COUNTY"	"VIRGINIA SQUARE"	8	1098	451	1549	1082	458	1540	1040	529	1569
"VA"	2001	13041	51013	41	"ARLINGTON COUNTY"	"WOODBURY"	8	560	222	782	539	227	766	518	261	779
"VA"	2001	13042	51013	42	"ARLINGTON COUNTY"	"SHIRLINGTON"	6	568	253	821	551	267	818	525	294	819
"VA"	2001	13043	51013	43	"ARLINGTON COUNTY"	"ARLINGTON MILL"	6	385	123	508	356	125	481	354	143	497
"VA"	2001	13044	51013	44	"ARLINGTON COUNTY"	"DAWSON TERRACE"	6	526	235	761	516	227	743	483	275	758
"VA"	2001	15101	51015	101	"AUGUSTA COUNTY"	"JOLIVUE"	6	304	416	720	265	402	667	190	507	697
"VA"	2001	15102	51015	102	"AUGUSTA COUNTY"	"EXPO"	6	97	143	240	77	151	228	53	184	237
"VA"	2001	15103	51015	103	"AUGUSTA COUNTY"	"VERONA"	6	408	681	1089	344	689	1033	248	822	1070
"VA"	2001	15201	51015	201	"AUGUSTA COUNTY"	"CRIMORA"	6	297	485	782	260	486	746	188	577	765
"VA"	2001	15202	51015	202	"AUGUSTA COUNTY"	"NEW HOPE"	6	308	504	812	251	536	787	169	629	798
"VA"	2001	15203	51015	203	"AUGUSTA COUNTY"	"WEYERS CAVE"	6	268	575	843	215	600	815	148	687	835
"VA"	2001	15301	51015	301	"AUGUSTA COUNTY"	"FORT DEFIANCE"	6	478	733	1211	382	769	1151	257	930	1187
"VA"	2001	15302	51015	302	"AUGUSTA COUNTY"	"NORTH RIVER"	6	131	225	356	100	236	336	81	266	347
"VA"	2001	15303	51015	303	"AUGUSTA COUNTY"	"MOUNT SOLON"	6	200	431	631	154	442	596	117	499	616
"VA"	2001	15304	51015	304	"AUGUSTA COUNTY"	"CHURCHVILLE FIRE STATION"	6	151	319	470	116	326	442	89	362	451
"VA"	2001	15401	51015	401	"AUGUSTA COUNTY"	"BUFFALO GAP"	6	190	390	580	146	401	547	109	454	563
"VA"	2001	15402	51015	402	"AUGUSTA COUNTY"	"CHURCHVILLE LIBRARY"	6	247	356	603	196	372	568	128	461	589
"VA"	2001	15403	51015	403	"AUGUSTA COUNTY"	"CRAIGSVILLE"	6	163	210	373	124	197	321	97	247	344
"VA"	2001	15404	51015	404	"AUGUSTA COUNTY"	"DEERFIELD"	6	64	127	191	55	119	174	44	144	188
"VA"	2001	15405	51015	405	"AUGUSTA COUNTY"	"CEDAR GREEN"	6	182	210	392	134	226	360	101	280	381
"VA"	2001	15501	51015	501	"AUGUSTA COUNTY"	"GREENVILLE"	6	333	497	830	276	514	790	201	616	817
"VA"	2001	15502	51015	502	"AUGUSTA COUNTY"	"MIDDLEBROOK"	6	168	297	465	148	298	446	103	357	460
"VA"	2001	15503	51015	503	"AUGUSTA COUNTY"	"SPOTTSWOOD"	6	163	261	424	149	259	408	115	300	415
"VA"	2001	15504	51015	504	"AUGUSTA COUNTY"	"WHITE HILL"	6	216	469	685	176	472	648	93	578	671
"VA"	2001	15601	51015	601	"AUGUSTA COUNTY"	"SHERANDO"	6	173	314	487	149	323	472	109	370	479
"VA"	2001	15602	51015	602	"AUGUSTA COUNTY"	"STUARTS DRAFT"	6	591	1039	1630	527	1048	1575	350	1268	1618
"VA"	2001	15603	51015	603	"AUGUSTA COUNTY"	"LYNDHURST"	6	180	336	516	151	348	499	121	388	509
"VA"	2001	15801	51015	801	"AUGUSTA COUNTY"	"DOOMS"	6	349	591	940	294	613	907	224	711	935
"VA"	2001	15802	51015	802	"AUGUSTA COUNTY"	"FISHERSVILLE"	6	535	889	1424	478	897	1375	319	1095	1414
"VA"	2001	15803	51015	803	"AUGUSTA COUNTY"	"WILSON"	6	311	393	704	259	409	668	167	522	689
"VA"	2001	17101	51017	101	"BATH COUNTY"	"WARM SPRINGS"	6	138	86	224	119	87	206	92	122	214
"VA"	2001	17102	51017	102	"BATH COUNTY"	"MOUNTAIN GROVE"	6	21	38	59	15	40	55	10	48	58
"VA"	2001	17201	51017	201	"BATH COUNTY"	"HOT SPRINGS"	6	165	141	306	149	133	282	107	188	295
"VA"	2001	17301	51017	301	"BATH COUNTY"	"FAIRVIEW"	6	82	119	201	70	114	184	51	135	186
"VA"	2001	17302	51017	302	"BATH COUNTY"	"BURNSVILLE"	5	32	37	69	27	40	67	21	47	68
"VA"	2001	17401	51017	401	"BATH COUNTY"	"MILLBORO"	5	185	144	329	148	143	291	116	186	302
"VA"	2001	17501	51017	501	"BATH COUNTY"	"HEALING SPRINGS"	5	181	156	337	146	150	296	110	202	312
"VA"	2001	19101	51019	101	"BEDFORD COUNTY"	"GOODVIEW ELEM SCHOOL"	5	711	886	1597	627	885	1512	453	1107	1560
"VA"	2001	19102	51019	102	"BEDFORD COUNTY"	"HARDY FIRE & RESCUE"	5	208	209	417	171	217	388	117	285	402
"VA"	2001	19103	51019	103	"BEDFORD COUNTY"	"CHAMBLISSBURG FIRST AID BLDG"	5	186	194	380	165	193	358	122	252	374
"VA"	2001	19202	51019	202	"BEDFORD COUNTY"	"STAUNTON RIVER HIGH SCHOOL"	5	288	317	605	257	315	572	182	399	581
"VA"	2001	19203	51019	203	"BEDFORD COUNTY"	"MONETA ELEM SCHOOL"	6	482	689	1171	417	686	1103	289	840	1129
"VA"	2001	19204	51019	204	"BEDFORD COUNTY"	"BODY CAMP ELEM SCHOOL"	5	85	93	178	77	88	165	54	119	173
"VA"	2001	19205	51019	205	"BEDFORD COUNTY"	"SAUNDERS VOL FIRE DEPT"	5	355	522	877	303	543	846	197	349	546
"VA"	2001	19301	51019	301	"BEDFORD COUNTY"	"NEW LONDON ACADEMY"	6	356	669	1025	282	693	975	179	810	989
"VA"	2001	19302	51019	302	"BEDFORD COUNTY"	"BEDFORD CO NURSING HOME"	5	297	309	606	251	304	555	187	377	564
"VA"	2001	19303	51019	303	"BEDFORD COUNTY"	"BETHESDA METHODIST CHURCH"	6	182	239	421	144	248	392	116	284	400
"VA"	2001	19304	51019	304	"BEDFORD COUNTY"	"FOREST YOUTH ATHLETIC ASSOC"	6	171	316	487	143	320	463	104	367	471
"VA"	2001	19305	51019	305	"BEDFORD COUNTY"	"HUDDLESTON ELEM SCHOOL"	6	147	219	366	129	195	324	90	250	340
"VA"	2001	19401	51019	401	"BEDFORD COUNTY"	"FOREST ELEM SCHOOL"	6	328	602	930	247	648	895	176	732	908
"VA"	2001	19402	51019	402	"BEDFORD COUNTY"	"THOMAS JEFFERSON ELEM SCHOOL"	6	448	796	1244	382	816	1198	276	947	1223
"VA"	2001	19502	51019	502	"BEDFORD COUNTY"	"BIG ISLAND ELEM SCHOOL"	6	178	131	309	139	134	273	108	175	283
"VA"	2001	19503	51019	503	"BEDFORD COUNTY"	"SEDALIA CENTER"	6	145	197	342	124	198	322	113	221	334
"VA"	2001	19504	51019	504	"BEDFORD COUNTY"	"ODD FELLOWS HALL"	6	71	95	166	56	99	155	53	108	161
"VA"	2001	19505	51019	505	"BEDFORD COUNTY"	"BOONSBORO ELEMENTARY SCHOOL"	6	398	550	948	325	590	915	247	683	930
"VA"	2001	19506	51019	506	"BEDFORD COUNTY"	"BOONSBORO RURITAN CLUB"	5	335	603	938	292	611	903	219	703	922
"VA"	2001	19601	51019	601	"BEDFORD COUNTY"	"MONTVALE ELEM SCHOOL"		295	364	659	265	359	624	238	407	645
"VA"	2001	19602	51019	602	"BEDFORD COUNTY"	"SHADY GROVE BAPTIST CHURCH"	5	60	90	150	57	89	146	40	107	147
"VA"	2001	19603	51019	603	"BEDFORD COUNTY"	"THAXTON ELEM SCHOOL"	5	316	384	700	270	376	646	176	476	652
"VA"	2001	19604	51019	604	"BEDFORD COUNTY"	"SAUNDERS GROVE BRETHERN CHURCH"	5	43	66	109	40	67	107	27	81	108
"VA"	2001	19702	51019	702	"BEDFORD COUNTY"	"LIBERTY HIGH SCHOOL"	6	604	621	1225	523	641	1164	377	804	1181
"VA"	2001	21101	51021	101	"BLAND COUNTY"	"BASTIAN"	9	118	121	239	93	131	224	69	160	229
"VA"	2001	21102	51021	102	"BLAND COUNTY"	"CERES"	9	89	104	193	68	107	175	37	144	181
"VA"	2001	21201	51021	201	"BLAND COUNTY"	"DAVIS"	9	47	30	77	36	37	73	19	58	77
"VA"	2001	21202	51021	202	"BLAND COUNTY"	"SEDDON"	9	261	296	557	213	295	508	131	405	536
"VA"	2001	21301	51021	301	"BLAND COUNTY"	"HOLLYBROOK"	9	109	105	214	91	113	204	63	145	208
"VA"	2001	21302	51021	302	"BLAND COUNTY"	"MECHANICSBURG"	9	67	60	127	49	69	118	32	91	123
"VA"	2001	21401	51021	401	"BLAND COUNTY"	"ROCKY GAP"	6	144	172	316	111	175	286	87	218	305
"VA"	2001	23102	51023	102	"BOTETOURT COUNTY"	"ASBURY"	6	460	712	1172	373	721	1094	243	864	1107
"VA"	2001	23104	51023	104	"BOTETOURT COUNTY"	"TROUTVILLE"	6	178	241	419	151	243	394	103	298	401
"VA"	2001	23201	51023	201	"BOTETOURT COUNTY"	"BLUE RIDGE"	6	444	635	1079	395	644	1039	285	780	1065
"VA"	2001	23301	51023	301	"BOTETOURT COUNTY"	"BUCHANAN"	6	451	350	801	389	334	723	293	459	752
"VA"	2001	23302	51023	302	"BOTETOURT COUNTY"	"MILL CREEK"	6	208	247	455	178	238	416	120	302	422
"VA"	2001	23303	51023	303	"BOTETOURT COUNTY"	"ROARING RUN"	6	94	105	199	85	98	183	64	120	184
"VA"	2001	23304	51023	304	"BOTETOURT COUNTY"	"SPRINGWOOD"	6	192	209	401	168	198	366	124	260	384
"VA"	2001	23402	51023	402	"BOTETOURT COUNTY"	"COURTHOUSE"	6	371	361	732	307	381	688	236	470	706
"VA"	2001	23403	51023	403	"BOTETOURT COUNTY"	"EAGLE ROCK"	6	168	215	383	139	212	351	116	257	373
"VA"	2001	23404	51023	404	"BOTETOURT COUNTY"	"GLEN WILTON"	6	127	145	272	116	143	259	98	162	260
"VA"	2001	23405	51023	405	"BOTETOURT COUNTY"	"ORISKANY"	6	12	31	43	11	33	44	7	37	44
"VA"	2001	23406	51023	406	"BOTETOURT COUNTY"	"TOWN HALL"	6	218	240	458	182	258	440	128	316	444
"VA"	2001	23501	51023	501	"BOTETOURT COUNTY"	"COYNER SPRINGS"	6	275	351	626	219	383	602	147	468	615
"VA"	2001	23502	51023	502	"BOTETOURT COUNTY"	"CLOVERDALE"		564	871	1435	504	899	1403	343	1073	1416
"VA"	2001	25101	51025	101	"BRUNSWICK COUNTY"	"BRODNAX"	5	136	73	209	141	65	206	122	87	209
"VA"	2001	25102	51025	102	"BRUNSWICK COUNTY"	"ROCK STORE"	5	148	147	295	144	146	290	126	167	293
"VA"	2001	25103	51025	103	"BRUNSWICK COUNTY"	"TILLMAN"	5	165	147	312	153	159	312	140	172	312
"VA"	2001	25201	51025	201	"BRUNSWICK COUNTY"	"DROMGOOLE"	5	80	83	163	82	80	162	70	93	163
"VA"	2001	25202	51025	202	"BRUNSWICK COUNTY"	"EDGERTON"	5	312	78	390	307	79	386	282	105	387
"VA"	2001	25203	51025	203	"BRUNSWICK COUNTY"	"FITZHUGH"	4	256	97	353	260	95	355	247	106	353
"VA"	2001	25301	51025	301	"BRUNSWICK COUNTY"	"ALBERTA"	4	65	36	101	63	36	99	46	54	100
"VA"	2001	25302	51025	302	"BRUNSWICK COUNTY"	"DANIELTOWN"	4	240	163	403	250	146	396	212	190	402
"VA"	2001	25303	51025	303	"BRUNSWICK COUNTY"	"ELMORE"	4	154	71	225	149	70	219	135	87	222
"VA"	2001	25304	51025	304	"BRUNSWICK COUNTY"	"SEYMOUR"	5	98	38	136	99	37	136	92	44	136
"VA"	2001	25401	51025	401	"BRUNSWICK COUNTY"	"STURGEON"	5	399	246	645	391	244	635	348	289	637
"VA"	2001	25501	51025	501	"BRUNSWICK COUNTY"	"LAWRENCEVILLE"	5	590	259	849	597	238	835	490	355	845
"VA"	2001	27102	51027	102	"BUCHANAN COUNTY"	"BLACKEY"	9	107	69	176	97	63	160	77	95	172
"VA"	2001	27104	51027	103	"BUCHANAN COUNTY"	"HURLEY"	9	158	112	270	142	108	250	123	143	266
"VA"	2001	27201	51027	201	"BUCHANAN COUNTY"	"GRASSY"	9	61	17	78	54	13	67	34	42	76
"VA"	2001	27202	51027	202	"BUCHANAN COUNTY"	"BULL"	9	265	88	353	249	75	324	172	157	329
"VA"	2001	27203	51027	203	"BUCHANAN COUNTY"	"ROCKLICK"	9	249	106	355	220	104	324	155	190	345
"VA"	2001	27301	51027	301	"BUCHANAN COUNTY"	"SLATE"	9	286	141	427	261	126	387	210	208	418
"VA"	2001	27302	51027	302	"BUCHANAN COUNTY"	"NORTH GRUNDY"	9	298	162	460	265	165	430	172	280	452
"VA"	2001	27403	51027	403	"BUCHANAN COUNTY"	"SOUTH GRUNDY"	9	229	176	405	179	172	351	92	310	402
"VA"	2001	27404	51027	404	"BUCHANAN COUNTY"	"OAKWOOD"	9	43	41	84	37	38	75	25	55	80
"VA"	2001	27501	51027	501	"BUCHANAN COUNTY"	"PRATER"	9	238	67	305	219	64	283	167	118	285
